videoId,title,commentId,textDisplay,authorDisplayName,likeCount,publishedAt,updatedAt
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxfA7VPrZDm7DmkiMt4AaABAg,The fact that they used “Oscar-worthy” in a song is absolutely iconic,yikes!!!,3332,2021-05-14T05:38:22Z,2021-05-14T05:38:22Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgywKZ-1QjsAPf6RReB4AaABAg,Their english version always hit different,Andrea Winnet Myrten,1853,2021-05-14T04:42:59Z,2021-05-14T04:42:59Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwSc-RZeA_ASPhUPhN4AaABAg,Lia’s and Chaeryeong’s vocals in the english version hit different,Moon 🤍,2805,2021-05-14T05:20:39Z,2021-06-15T15:44:49Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyJHNNmjDc8ZP0Flcl4AaABAg,"it's so great how the 
MA-FI-A is like an acrostic poem at 2:21
MA- my lil' game
FI- finishes tonight
A- I'mma get ya",Supraja Chellappan,1594,2021-05-14T07:06:06Z,2021-05-14T07:06:06Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgykyB-skQ1x0Vfi7yx4AaABAg,when you can finally understand the words but still sing along using the korean version because you've listened to it so many times and it just sounds right,jinni,1185,2021-05-14T05:16:23Z,2021-05-14T05:16:23Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwQJRvYVo3W8Amh1-x4AaABAg,Their voices are so deep in english,hobi,382,2021-05-14T05:22:22Z,2021-05-14T05:22:22Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyFswbcUCnqTZz2ETN4AaABAg,Even the English version is a bop ✨,Clove54,179,2021-05-14T04:43:22Z,2021-05-14T04:43:22Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugwx2IEIRGs_SSd4Cr54AaABAg,"DALLA DALLA: BREAKING BACKS
ICY: BREAKING NECKS
WANNABE: BREAKING SOULDER
NOT SHY: BREAKING LEGS
MAFIA IN THE MORNING: BREAKING EVERYTING FOR REAL
ITZY: BREAKING RECORDS
MIDZY: BREAKING REPLAY BUTTON",STAN,1420,2021-05-14T04:43:58Z,2021-05-14T04:43:58Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugzpm89FDlOdnuXPxGF4AaABAg,Popular Opinion: This Song is a Masterpiece,STAN,262,2021-05-14T04:43:22Z,2021-05-14T04:43:22Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugyf3x2D2_wI_OIbd5B4AaABAg,2:10 I LOVE THIS PART,Alanie,29,2022-12-03T21:36:35Z,2022-12-03T21:36:35Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzvBi0gN5AGCjnznM14AaABAg,"lia’s vocals whew, i’m in love with her lower range. also i can’t believe the lyricist missed the chance “guess who is the mafia?” instead of “hit you like the mafia” they could’ve mentioned the album title lmaoo 😂 but they did really good it must be hard to sing and rap in a different language. but they sound so good i love how their voices sound a bit deeper? and the prechorus is...whew",HeavenlyLove47,76,2021-05-18T18:26:14Z,2021-05-18T18:26:45Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwXNG9t-raaoAUQ9Z94AaABAg,2:10 my favorite part ngl its so addicting,wonchuu,121,2021-05-29T09:59:16Z,2021-05-29T09:59:16Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugxp9zjIhNOxDXqphoV4AaABAg,I'm not midzy but i like this song👍💜,cutieshn,284,2021-05-14T05:34:25Z,2021-05-14T10:39:55Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxLF-wNvgLp-Xrm_ph4AaABAg,"it feels like it would be better if the ""hit u like a mafia"" is ""guess who is the mafia""",Jannel mikaella Ang,2777,2021-05-14T04:46:34Z,2021-05-14T04:46:34Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzLjSWJWiEClDb_hGN4AaABAg,0:34 i love lia's vocals!!💕,HoneyxXxsugarShine,31,2021-06-20T06:49:15Z,2021-06-20T06:49:15Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyQr0wz4FUy2BnLmfB4AaABAg,0:27 I won't stop at this part cause it's my fav 😭❤️,𝓜𝓲𝓪ᶻz﹐☆﹒,9,2023-01-03T07:45:31Z,2023-01-03T07:50:36Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzdFoUg1mVMD45yveB4AaABAg,Lia's voice is very powerful ✊,meji,37,2021-05-14T14:31:14Z,2021-05-14T14:31:14Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugx6VoZkyCJ6IdOsaOt4AaABAg,THEIR ENGLISH VERSIONS OF ALL OF THEIR SONGS ARE GOD TIER OMFG,loriri ♡,20,2021-06-26T22:48:52Z,2021-06-26T22:48:52Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwhMoEviWxmvH1B-wp4AaABAg,"2:09 this part hits even hard  in english
Yes that's our Queen lia slaying",I parked Jimin but Yoongi is riding,44,2021-05-14T11:35:26Z,2021-05-14T11:35:26Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugy5cRiiRMWwXjPYvJJ4AaABAg,"woah- Lia's ""am I getting you, getting you just a little confused"" is so addicting",nwuoy,63,2021-05-15T11:53:54Z,2021-05-15T11:53:54Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgznHtGpRzv6KwK0o3Z4AaABAg,Ryujins english is so freaking good😩🖤,;-;,164,2021-05-14T04:45:10Z,2021-05-14T04:45:10Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugx8buMklU06E2iSAJZ4AaABAg,Itzy sing and rap in English very well I love them☺💖,I'm Ackerman,15,2021-05-14T04:55:24Z,2021-05-14T04:55:24Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugyiz4vi8QSim3eTbX94AaABAg,0:33 2:09 i come back to this just for these parts i'm absolutely obsessed with lia's voice in the english ver,jenny,16,2021-09-26T23:17:16Z,2021-09-26T23:17:16Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugxt-GmTj3dF6t5BJv54AaABAg,"0:14 RYUJIN 
0:21 YUNA
0:32 YEJI
0:35 LIA
0:46 CHAERYEONG
0:01 ITZY",Kadriye,5,2022-04-29T13:46:11Z,2022-04-29T13:54:44Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugz93u_diJwXevKnJYp4AaABAg,02:09 This part is just WOW,Andrea Gregosz,11,2022-02-15T07:35:52Z,2022-02-15T07:35:52Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugxnwrfk6MDiSPQ9-Rx4AaABAg,0:46 chaeryong *in the night* gave me goosebumps 💜,Urdu Life Stories,8,2022-06-20T14:31:34Z,2022-06-20T14:31:34Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugx96LlDkSeJVZw979N4AaABAg,"Y’know, I like the original version better, but holy crap, this is incredibly good as well.",Team Quintuplets,1,2023-02-22T21:01:35Z,2023-02-22T21:01:47Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugy7DYUMXnQ8GriX4TB4AaABAg,"ITZY : HIT YOU ..
MY BRAIN : DDU DU DDU DU DU",Miza Azlan,364,2021-05-14T10:46:39Z,2021-05-14T10:46:39Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzpVwK0lKajQrtbkYJ4AaABAg,Mafia in the morning original and the English version is both bomb,Poo-shii,40,2021-05-14T04:45:34Z,2021-05-14T04:45:34Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugy1c-_Z5fLnR6oapUB4AaABAg,Yejis voice is amazing❤😍💞😪🔥,Josi,11,2021-05-25T16:18:27Z,2021-05-25T16:18:27Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzIIqykDhGmHeYk5I14AaABAg,"1:28 thank me later















Seriously though, she slayed that part !!! Her pronunciation is on point, the lyrics got me dead ""cause you're no match for me"" she's a queen !!!, and the swag in her voice sjfhdydbdjshskjd
Yes I am the comment about praising Yeji you were waiting for~~",melly_muse,8,2021-05-23T17:41:35Z,2021-05-23T17:41:35Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugy5-D_eKRsTXSG1SLd4AaABAg,Lia and Chae sounded good asf in English,Icon,60,2021-05-14T20:54:55Z,2021-05-14T20:54:55Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxocIGyHT0igSaS0Cd4AaABAg,❤❤❤❤❤❤❤❤❤❤,QUEEN,1,2021-06-27T09:38:53Z,2021-06-27T09:38:53Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzPNic_3uh7ZhX6qB54AaABAg,Lia's voice in english. She's so good!!!! 😍❤️❤️ ALL OF THEM ARE GOOD! ITZY QUEENS,Mary Lim,11,2021-05-14T07:08:29Z,2021-05-14T07:08:29Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxWmd7oARFUrt6tlRR4AaABAg,"Jyp: heres the engl-

Jaeguchi: HERE ARE THE LYRICS",Talent With Tee,474,2021-05-14T05:13:50Z,2021-05-14T05:13:50Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyrCN4ht4ppTcco8g94AaABAg,I'm so happy english versions exist!!!!! I can finally sing their song!!,Crys♡,7,2021-05-19T02:54:39Z,2021-05-19T02:54:39Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwoA8U_o04SBwpc11N4AaABAg,The English version of the song is too good but u need to agree that nothing can beat the original one❤️,Just Get Crazzy,0,2022-07-27T11:03:37Z,2022-07-27T11:03:37Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyAjdmFq2BbA4iUUNR4AaABAg,""" In the night "" of chaeryeong is always iconic",MAHI PATWA,5,2022-02-14T07:29:43Z,2022-02-14T07:29:43Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxwE8kZAbwaOOmwItx4AaABAg,"I love how most of the itzy's songs are like "" no matter if you judge me ,i will crush you  and will love myself"" 💜
And that's what I Iove about my girls ❤️❤️",park frozen 💜,2,2022-04-28T16:56:23Z,2022-07-13T17:01:33Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyoDkbhxaZNjLQ4ZSt4AaABAg,"chaeryeongs ''mind'' 
*SCREAMS IN PILLOW* ITS SO GOOD",Xephyr297,0,2023-02-13T16:20:21Z,2023-02-13T16:20:21Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwSb5meq6wec5RsJdV4AaABAg,Chaeryeong's voice is so good,userless,5,2021-05-15T11:21:39Z,2021-05-15T11:21:39Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyFzsfWMHHcr1xBVKx4AaABAg,Woww,ttnabila,1,2021-12-24T22:37:10Z,2021-12-24T22:37:10Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwslxM8BKILi2-RwMB4AaABAg,this was the first time i head this song and i thought it was the original and i was like omg itzy sing whole songs in english wow,아메나( ˘ ³˘),1,2022-12-30T16:48:20Z,2022-12-30T16:48:20Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugw6iQ5dH63TsleiPZZ4AaABAg,I love this version they sounds so good !,ᴍ~𝐝,2,2021-05-14T05:48:55Z,2021-05-14T05:48:55Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugxy2bgVxyEagj5aefF4AaABAg,"This version is nice and I feel thankful that they would take time out of their busy schedule to make a song in English so foreign fans can have an easier time singing along, but I prefer the original version no reason why but I just do.",BirdsAndMe,11,2021-05-21T14:20:56Z,2021-05-21T14:20:56Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyLBI5mBFAGM_-2V8N4AaABAg,Love this version!!!,Ohmyuna,5,2021-05-25T22:21:52Z,2021-05-25T22:21:52Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyngqgQG8hk-1vEWlF4AaABAg,"I don't know what else to say, this sound is really cool to hear until I'm really addicted to this song😭",전정국 Thania,12,2021-05-14T04:48:29Z,2021-05-14T04:48:29Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugze4JOhtS-wcyFO-9h4AaABAg,These are the queens amongst the other groups..they do ther songs in english for worldwide fanss,ItzRoller,13,2021-05-14T04:55:36Z,2021-05-14T04:55:36Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyXBaomL2jVIjHi68t4AaABAg,2:16 “finishes tonight” fav part it sounds so good ❤,Clee.touris,0,2022-10-11T15:32:11Z,2022-10-11T15:32:11Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxdKny3S5eIxgAYSJx4AaABAg,0:34 this part is addicting with chorus omggg it’s perfect,Remarkable Soul,0,2022-09-03T17:09:47Z,2022-09-03T17:09:47Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzZL77E_pITKRxnpeN4AaABAg,Lia sounds so good in this version!,Boo Sullivan,27,2021-05-14T07:07:54Z,2021-05-14T07:07:54Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyDNlcCcdpcNj9zbWN4AaABAg,The fact that Itzy are the queens of MUSIC,axiewotl#roadto30!,2,2022-08-03T20:30:43Z,2022-08-03T20:30:43Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwvolQaKzunZzW84Ft4AaABAg,I'm in love with the English version!,Tuana cp,6,2021-06-14T14:08:20Z,2021-06-14T14:08:20Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyorjMow9BJPHcNUZ14AaABAg,"For all the people who hate the english version.. You do realize that ITZY gave this to us as a present and inglish isn't their first language.. So I think the girls did great! 😊 
Well I guess JYP is the one who wrote this.. 👁👄👁",Shayla Gwinnup,3,2021-09-20T16:13:00Z,2021-09-20T16:15:15Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyDUoYK5BphjmWb7KZ4AaABAg,We can all agree ITZY songs are iconic <3,luvicide,1,2021-06-15T03:51:37Z,2021-06-15T03:51:37Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugyoy8kW4kVIt6tXZSJ4AaABAg,Ive been waiting for the English version I LOVE it,Ms. Zyra MMD,1,2021-05-15T20:14:14Z,2021-05-15T20:14:14Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzY0XZbAsB560tWuuF4AaABAg,1:49 lias vocal here. i love her voice there omg🤍,makayla steik,5,2021-07-14T05:11:57Z,2021-07-14T05:11:57Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzltrfYHsy799z9Ryp4AaABAg,I wasnt a fan of the english version of the other song but this one is really good I love it,Aénor,0,2021-05-14T23:07:00Z,2021-05-14T23:07:00Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugx-aAclg9nBufmeIjR4AaABAg,The pre chorus in this version is soooooo cool,poppie_kei,1,2021-05-20T02:55:36Z,2021-05-20T02:55:36Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxM1H51X04xo988tHJ4AaABAg,My fav song by them :) in English and Korean But it just sound so good in English,Eliza,2,2021-12-31T00:44:31Z,2021-12-31T00:44:31Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugz1itZjv9obJ-4_YFd4AaABAg,"I'm shooked by Lia's voice here, she's an icon",Seungminism,1,2022-05-05T08:07:15Z,2022-05-05T08:07:15Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwQ_N-85EU9gv1HZQt4AaABAg,las amo itzys,vocablo uruapan,0,2021-06-02T19:26:20Z,2021-06-02T19:26:20Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwI2txh1vA77CAhUgh4AaABAg,This actually has no mistakes! Keep up the good work!!,king bxa •is a gamer•,2,2021-05-15T08:57:08Z,2021-05-15T08:57:08Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxS_jAkfY9_6sG6e6l4AaABAg,"The part 
It’s finally time to make up your mind hope you’re ready who knows what could happen in the night>>>>>>>>>>>>>>",lalala,4,2022-07-20T18:56:36Z,2022-07-20T18:56:36Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugy5rIiY4TSTmuTIq_t4AaABAg,I love this song! (I prefer the original version),Mr. Fancy Pants The Clown ,4,2021-11-30T02:32:13Z,2021-11-30T02:32:13Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugx0NTsDmW2PPhaABDd4AaABAg,Ryujin's rap part hits different,Patrick Verne Harn,2,2022-02-07T02:34:45Z,2022-02-07T02:34:45Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxPGiRQeMEO1TDzo2J4AaABAg,Chaeryoung is sooo AWESOME,ʟxᴠᴠʏ._.ɢxᴄʜᴀ,2,2021-06-11T09:23:49Z,2021-06-11T09:23:49Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugy6fpFVR4bWAbqNkMd4AaABAg,Yo I never thought an English version existed of this! This slaps hard!,Zao,0,2021-06-10T12:06:32Z,2021-06-10T12:06:32Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzLXcqiOgTL-pakuYh4AaABAg,2:10 lia’s vocal’s🖤,amethyst,0,2023-01-02T18:07:10Z,2023-01-02T18:07:44Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugxf8P517WJ1fzLYwyp4AaABAg,Yeji's line omg so 💯,Teumeblinkeu -,0,2021-05-15T00:31:16Z,2021-05-15T00:31:16Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyV9OtxbT9vuFWXgnN4AaABAg,I like this english version better than the previous ones,Hwang Channel,2,2021-05-14T06:10:39Z,2021-05-14T06:10:48Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyutkvY-KnkGhUlQpN4AaABAg,never am a fan of eng vers but dang i am digging this,Jaz z,0,2021-05-14T17:27:26Z,2021-05-14T17:27:26Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugwi6qvq0Nf1YrRLp2V4AaABAg,This song is 🔥🔥🔥🔥🔥,Queen 🐰,0,2021-05-14T13:00:07Z,2021-05-14T13:00:07Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxKUfDnwV2bLmAk5x14AaABAg,I love it,Chris,1,2021-05-14T04:42:35Z,2021-05-14T04:42:35Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugw2RZ0Kh0Zinb3BiWx4AaABAg,NEVER BEEN SO EARLY 🤩...congrats ITZY for billboard 200🔥🎶THIS SONG SO BOP🔥Damn a Eng Ver we  couldn't resist right?😍,Little Violet,3,2021-05-14T18:37:32Z,2021-05-14T18:37:32Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxjCotzs8obJFPv_7R4AaABAg,"wow, i'm addicted to the korean and english version 😍😍",AJ AJ,0,2021-09-05T13:39:31Z,2021-09-05T13:39:31Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxQ68AWq3i9CU5v8dN4AaABAg,Yuna's part is the best 😍,bushra sharif,6,2021-06-20T11:00:31Z,2021-06-20T11:00:31Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzPFDKrwyxX9hcpxMt4AaABAg,I’m sorry but Yeji and Yuna absolutely owned this song- I-,Sabira Mohammad,1,2022-06-25T08:44:41Z,2022-06-25T08:44:41Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwVsEx8P4OtWeI1LXF4AaABAg,The english ver is so good,CAIN,13,2021-05-14T04:45:28Z,2021-05-14T04:45:28Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxfSbHygmN9XiinKzB4AaABAg,lias voice in this song 🤩,mya tamara,0,2023-02-05T11:02:17Z,2023-02-05T11:02:17Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgwqNCFXcrzV7B0nOzF4AaABAg,“Oscar worthy” yas queen ❤️👑,Isabella Franco,1,2021-08-15T17:26:01Z,2021-08-15T17:26:01Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgyXcXxb7If7U72glWN4AaABAg,Yeji 😭❤️❤️👍🏾,D M,1,2023-08-19T20:35:02Z,2023-08-19T20:35:02Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxRad5WV_ar3iiM4-h4AaABAg,Lias Voice is so beautiful here. Im so in love,Moonchild Dancing,0,2021-05-15T21:12:01Z,2021-05-15T21:12:01Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugyll733H91W9GiJOdJ4AaABAg,Yas ty for the English version 🤩🤩🤩🤩🤩,Star Entertainment,1,2021-08-11T20:49:38Z,2021-08-11T20:49:38Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgxGIZUyjXC_AHtBKep4AaABAg,Thank you for the song 🎶😊👍,Anna Łopuszańska,0,2021-05-14T04:47:45Z,2021-05-14T04:47:45Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),Ugx-O3UDofIctcXtu8d4AaABAg,best song ever,idk nanmolla,0,2022-08-18T15:35:46Z,2022-08-18T15:35:46Z
VTV6tgp_VwY,ITZY - MAFIA In the morning (English ver.) Lyrics (Color Coded Lyrics),UgzlDnqcXJbVQls6sJJ4AaABAg,Ooh mi........ this song is totally a hit,Mary Jay,0,2021-05-15T01:06:47Z,2021-05-15T01:06:47Z
